task,skill,layer,v_cos,v_rel_l2,k_raw_cos,k_cos,k_rel_l2
launch_poster_page_pack,web-artifacts-builder,22,0.8813,0.4372,0.6484,0.9373,0.321
launch_poster_page_pack,web-artifacts-builder,23,0.8876,0.4156,0.6365,0.9133,0.3974
launch_poster_page_pack,web-artifacts-builder,24,0.8896,0.4133,0.6833,0.8749,0.4827
launch_poster_page_pack,web-artifacts-builder,25,0.8835,0.4305,0.8288,0.9573,0.2867
launch_poster_page_pack,web-artifacts-builder,26,0.9077,0.3667,0.658,0.9118,0.3928
launch_poster_page_pack,web-artifacts-builder,27,0.9142,0.3565,0.6632,0.9433,0.3122
launch_poster_page_pack,web-artifacts-builder,28,0.938,0.2903,0.6384,0.9048,0.414
launch_poster_page_pack,web-artifacts-builder,29,0.9328,0.3026,0.596,0.9254,0.343
launch_poster_page_pack,web-artifacts-builder,30,0.9312,0.3039,0.6116,0.9492,0.2937
launch_poster_page_pack,web-artifacts-builder,31,0.93,0.3177,0.6226,0.9478,0.3116
launch_poster_page_pack,web-artifacts-builder,32,0.9413,0.2812,0.5192,0.9432,0.314
launch_poster_page_pack,web-artifacts-builder,33,0.9464,0.2622,0.577,0.9265,0.3649
launch_poster_page_pack,web-artifacts-builder,34,0.949,0.2551,0.6344,0.9171,0.38
launch_poster_page_pack,web-artifacts-builder,35,0.9521,0.2433,0.6277,0.909,0.3926
launch_poster_page_pack,web-artifacts-builder,36,0.9343,0.297,0.6507,0.9483,0.2908
launch_poster_page_pack,web-artifacts-builder,37,0.9485,0.2602,0.5524,0.9521,0.2755
launch_poster_page_pack,web-artifacts-builder,38,0.9379,0.2877,0.7067,0.9573,0.2819
launch_poster_page_pack,web-artifacts-builder,39,0.9356,0.3081,0.7138,0.9841,0.1628
launch_poster_page_pack,theme-factory,0,1.0,0.0,0.9185,1.0,0.0022
launch_poster_page_pack,theme-factory,1,0.9894,0.131,0.6316,0.9979,0.0602
launch_poster_page_pack,theme-factory,2,0.9806,0.1755,0.6455,0.9931,0.1108
launch_poster_page_pack,theme-factory,3,0.9817,0.1752,0.4216,0.985,0.167
launch_poster_page_pack,theme-factory,4,0.9788,0.1873,0.5546,0.9837,0.1711
launch_poster_page_pack,theme-factory,5,0.9643,0.2372,0.5658,0.988,0.146
launch_poster_page_pack,theme-factory,6,0.9709,0.2184,0.3393,0.9678,0.235
launch_poster_page_pack,theme-factory,7,0.975,0.195,0.6908,0.9846,0.1752
launch_poster_page_pack,theme-factory,8,0.974,0.1963,0.7551,0.9911,0.1231
launch_poster_page_pack,theme-factory,9,0.9793,0.1756,0.6217,0.9892,0.1439
launch_poster_page_pack,theme-factory,10,0.9768,0.1825,0.7657,0.9938,0.0958
launch_poster_page_pack,theme-factory,11,0.9742,0.1935,0.5807,0.9871,0.1469
launch_poster_page_pack,theme-factory,12,0.9658,0.2248,0.5181,0.9672,0.2404
launch_poster_page_pack,theme-factory,13,0.9557,0.254,0.5026,0.9701,0.2275
launch_poster_page_pack,theme-factory,14,0.9378,0.2978,0.5182,0.9699,0.2324
launch_poster_page_pack,theme-factory,15,0.9476,0.2717,0.6492,0.9722,0.2288
launch_poster_page_pack,theme-factory,16,0.9297,0.3172,0.7177,0.9772,0.2031
launch_poster_page_pack,theme-factory,17,0.9209,0.3444,0.5916,0.9506,0.2944
launch_poster_page_pack,theme-factory,18,0.8895,0.4155,0.5852,0.933,0.3369
launch_poster_page_pack,theme-factory,19,0.8944,0.4061,0.5807,0.9298,0.3506
launch_poster_page_pack,theme-factory,20,0.8733,0.441,0.6123,0.932,0.3477
launch_poster_page_pack,theme-factory,21,0.8596,0.479,0.6667,0.8909,0.4452
launch_poster_page_pack,theme-factory,22,0.8585,0.4789,0.5878,0.9286,0.343
launch_poster_page_pack,theme-factory,23,0.871,0.45,0.5807,0.906,0.4115
launch_poster_page_pack,theme-factory,24,0.8736,0.4446,0.6317,0.8628,0.5043
launch_poster_page_pack,theme-factory,25,0.8653,0.4661,0.8078,0.954,0.3142
launch_poster_page_pack,theme-factory,26,0.8952,0.3929,0.6173,0.9015,0.4144
launch_poster_page_pack,theme-factory,27,0.9045,0.3781,0.6494,0.9387,0.3241
launch_poster_page_pack,theme-factory,28,0.9297,0.3065,0.5843,0.8932,0.4374
launch_poster_page_pack,theme-factory,29,0.923,0.3221,0.5414,0.9184,0.3584
launch_poster_page_pack,theme-factory,30,0.9246,0.3154,0.5572,0.9422,0.3148
launch_poster_page_pack,theme-factory,31,0.9212,0.337,0.5277,0.9388,0.3407
launch_poster_page_pack,theme-factory,32,0.93,0.3008,0.5193,0.9338,0.3413
launch_poster_page_pack,theme-factory,33,0.9369,0.2767,0.5405,0.9133,0.4004
launch_poster_page_pack,theme-factory,34,0.9387,0.2718,0.571,0.9027,0.4117
launch_poster_page_pack,theme-factory,35,0.9408,0.259,0.5653,0.8959,0.4187
launch_poster_page_pack,theme-factory,36,0.9263,0.3089,0.5851,0.94,0.3155
launch_poster_page_pack,theme-factory,37,0.9388,0.2729,0.5036,0.9442,0.2983
launch_poster_page_pack,theme-factory,38,0.9292,0.3012,0.6983,0.9514,0.3051
launch_poster_page_pack,theme-factory,39,0.9284,0.3238,0.7463,0.9823,0.1735
slack_launch_pack,internal-comms,0,1.0,0.0018,0.9271,1.0,0.0029
slack_launch_pack,internal-comms,1,0.9867,0.1445,0.6573,0.9976,0.0637
slack_launch_pack,internal-comms,2,0.9758,0.1991,0.7137,0.9923,0.1214
slack_launch_pack,internal-comms,3,0.9772,0.1978,0.4969,0.9815,0.187
slack_launch_pack,internal-comms,4,0.9749,0.2069,0.5879,0.9813,0.1865
slack_launch_pack,internal-comms,5,0.9647,0.2434,0.5564,0.9869,0.1543
slack_launch_pack,internal-comms,6,0.9712,0.2242,0.3768,0.9644,0.2531
slack_launch_pack,internal-comms,7,0.9726,0.2131,0.7757,0.9862,0.166
slack_launch_pack,internal-comms,8,0.9727,0.2099,0.799,0.9921,0.116
slack_launch_pack,internal-comms,9,0.9788,0.1879,0.6263,0.991,0.132
slack_launch_pack,internal-comms,10,0.977,0.1942,0.8591,0.9946,0.0895
slack_launch_pack,internal-comms,11,0.9733,0.2107,0.6404,0.9879,0.1438
slack_launch_pack,internal-comms,12,0.9634,0.2498,0.5965,0.9681,0.2396
slack_launch_pack,internal-comms,13,0.9535,0.2766,0.5671,0.968,0.2453
slack_launch_pack,internal-comms,14,0.941,0.3084,0.5633,0.9729,0.2198
slack_launch_pack,internal-comms,15,0.9457,0.2981,0.6391,0.9733,0.2209
slack_launch_pack,internal-comms,16,0.9271,0.345,0.7369,0.9772,0.2046
slack_launch_pack,internal-comms,17,0.9218,0.3648,0.6344,0.9489,0.3094
slack_launch_pack,internal-comms,18,0.8939,0.4247,0.6487,0.9305,0.351
slack_launch_pack,internal-comms,19,0.8994,0.4124,0.5437,0.9274,0.3623
slack_launch_pack,internal-comms,20,0.8799,0.4459,0.6335,0.9344,0.348
slack_launch_pack,internal-comms,21,0.8684,0.4766,0.7078,0.8956,0.4416
slack_launch_pack,internal-comms,22,0.8642,0.48,0.6176,0.931,0.3401
slack_launch_pack,internal-comms,23,0.868,0.4673,0.6443,0.9096,0.4083
slack_launch_pack,internal-comms,24,0.8734,0.4573,0.6808,0.8757,0.4833
slack_launch_pack,internal-comms,25,0.8635,0.4822,0.8221,0.9562,0.2966
slack_launch_pack,internal-comms,26,0.8926,0.4105,0.6894,0.9093,0.4016
slack_launch_pack,internal-comms,27,0.8976,0.4021,0.6562,0.9377,0.328
slack_launch_pack,internal-comms,28,0.9284,0.3243,0.6351,0.8997,0.4267
slack_launch_pack,internal-comms,29,0.9224,0.3367,0.6084,0.9231,0.352
slack_launch_pack,internal-comms,30,0.922,0.3337,0.6459,0.9463,0.3028
slack_launch_pack,internal-comms,31,0.9191,0.3539,0.6269,0.9421,0.3299
slack_launch_pack,internal-comms,32,0.9291,0.3167,0.5635,0.9396,0.3283
slack_launch_pack,internal-comms,33,0.9346,0.2959,0.6099,0.9188,0.3872
slack_launch_pack,internal-comms,34,0.9368,0.2877,0.6584,0.9086,0.4036
slack_launch_pack,internal-comms,35,0.9391,0.2762,0.6401,0.9062,0.3999
slack_launch_pack,internal-comms,36,0.9275,0.321,0.6209,0.9456,0.3008
slack_launch_pack,internal-comms,37,0.9394,0.2854,0.5973,0.9479,0.2851
slack_launch_pack,internal-comms,38,0.9319,0.3113,0.6989,0.9551,0.2882
slack_launch_pack,internal-comms,39,0.9351,0.3177,0.7542,0.9846,0.1607
slack_launch_pack,slack-gif-creator,0,1.0,0.0001,0.9317,1.0,0.0024
slack_launch_pack,slack-gif-creator,1,0.9942,0.0944,0.6891,0.999,0.0391
slack_launch_pack,slack-gif-creator,2,0.99,0.1235,0.6947,0.997,0.0697
slack_launch_pack,slack-gif-creator,3,0.99,0.1263,0.5429,0.9926,0.1108
slack_launch_pack,slack-gif-creator,4,0.989,0.1311,0.585,0.9926,0.1097
slack_launch_pack,slack-gif-creator,5,0.9833,0.1597,0.6126,0.9949,0.0904
slack_launch_pack,slack-gif-creator,6,0.986,0.1477,0.3353,0.9869,0.1417
slack_launch_pack,slack-gif-creator,7,0.988,0.1338,0.786,0.994,0.1029
slack_launch_pack,slack-gif-creator,8,0.9886,0.1299,0.7682,0.9965,0.0742
slack_launch_pack,slack-gif-creator,9,0.9905,0.1178,0.6161,0.9957,0.0862
slack_launch_pack,slack-gif-creator,10,0.9897,0.1194,0.8355,0.9974,0.0587
slack_launch_pack,slack-gif-creator,11,0.9882,0.1268,0.6223,0.9947,0.0885
slack_launch_pack,slack-gif-creator,12,0.9842,0.1485,0.5825,0.9854,0.1502
slack_launch_pack,slack-gif-creator,13,0.9784,0.1726,0.6041,0.9856,0.1499
slack_launch_pack,slack-gif-creator,14,0.9707,0.2019,0.6122,0.9867,0.1449
slack_launch_pack,slack-gif-creator,15,0.9735,0.1888,0.6868,0.9871,0.1455
slack_launch_pack,slack-gif-creator,16,0.9623,0.2246,0.7584,0.9878,0.1398
slack_launch_pack,slack-gif-creator,17,0.9592,0.2446,0.6388,0.9724,0.2127
slack_launch_pack,slack-gif-creator,18,0.9443,0.2829,0.621,0.9589,0.2555
slack_launch_pack,slack-gif-creator,19,0.9468,0.2707,0.6184,0.9574,0.2596
slack_launch_pack,slack-gif-creator,20,0.9368,0.2889,0.6289,0.9565,0.2657
slack_launch_pack,slack-gif-creator,21,0.9251,0.3287,0.7293,0.9223,0.3622
slack_launch_pack,slack-gif-creator,22,0.9256,0.3231,0.5976,0.9521,0.2657
slack_launch_pack,slack-gif-creator,23,0.9283,0.3076,0.655,0.9388,0.318
slack_launch_pack,slack-gif-creator,24,0.9278,0.3084,0.7057,0.9111,0.3886
slack_launch_pack,slack-gif-creator,25,0.9228,0.3229,0.8264,0.9668,0.2359
slack_launch_pack,slack-gif-creator,26,0.9363,0.2787,0.6921,0.9325,0.3261
slack_launch_pack,slack-gif-creator,27,0.9394,0.2759,0.6507,0.9588,0.2485
slack_launch_pack,slack-gif-creator,28,0.9539,0.227,0.6826,0.9327,0.3291
slack_launch_pack,slack-gif-creator,29,0.9479,0.2413,0.606,0.9455,0.2722
slack_launch_pack,slack-gif-creator,30,0.9472,0.2438,0.6321,0.9638,0.2271
slack_launch_pack,slack-gif-creator,31,0.9441,0.2608,0.6014,0.96,0.244
slack_launch_pack,slack-gif-creator,32,0.9479,0.2377,0.5808,0.958,0.2475
slack_launch_pack,slack-gif-creator,33,0.9503,0.2248,0.6469,0.9452,0.2922
slack_launch_pack,slack-gif-creator,34,0.9507,0.2229,0.6798,0.938,0.3062
slack_launch_pack,slack-gif-creator,35,0.9504,0.2185,0.654,0.9306,0.3236
slack_launch_pack,slack-gif-creator,36,0.944,0.2485,0.6676,0.9609,0.235
slack_launch_pack,slack-gif-creator,37,0.952,0.2249,0.5667,0.9621,0.2232
slack_launch_pack,slack-gif-creator,38,0.9468,0.2432,0.7276,0.967,0.2251
slack_launch_pack,slack-gif-creator,39,0.9532,0.2458,0.7188,0.987,0.1369
slack_launch_pack,brand-guidelines,0,1.0,0.0,0.9271,1.0,0.0024
slack_launch_pack,brand-guidelines,1,0.989,0.133,0.6434,0.9977,0.0619
slack_launch_pack,brand-guidelines,2,0.9786,0.1881,0.666,0.9928,0.1169
slack_launch_pack,brand-guidelines,3,0.9782,0.191,0.4903,0.984,0.1736
slack_launch_pack,brand-guidelines,4,0.9761,0.1989,0.6203,0.9835,0.1743
slack_launch_pack,brand-guidelines,5,0.9612,0.2497,0.5701,0.987,0.1528
slack_launch_pack,brand-guidelines,6,0.9702,0.2209,0.4284,0.9669,0.2422
slack_launch_pack,brand-guidelines,7,0.9761,0.1932,0.7542,0.986,0.1681
slack_launch_pack,brand-guidelines,8,0.9764,0.1906,0.7748,0.9921,0.1176
slack_launch_pack,brand-guidelines,9,0.9798,0.1748,0.6383,0.9904,0.1356
slack_launch_pack,brand-guidelines,10,0.978,0.1789,0.8105,0.9944,0.0904
slack_launch_pack,brand-guidelines,11,0.9748,0.1908,0.6291,0.9881,0.1407
slack_launch_pack,brand-guidelines,12,0.9676,0.2197,0.5612,0.9706,0.2279
slack_launch_pack,brand-guidelines,13,0.9587,0.2431,0.5803,0.9726,0.2188
slack_launch_pack,brand-guidelines,14,0.9426,0.283,0.515,0.9739,0.2153
slack_launch_pack,brand-guidelines,15,0.9523,0.2553,0.6672,0.9762,0.2106
slack_launch_pack,brand-guidelines,16,0.9377,0.2945,0.7293,0.981,0.1833
slack_launch_pack,brand-guidelines,17,0.9298,0.3185,0.608,0.9566,0.2733
slack_launch_pack,brand-guidelines,18,0.8958,0.3984,0.6279,0.9366,0.3242
slack_launch_pack,brand-guidelines,19,0.8996,0.3846,0.5941,0.9345,0.3345
slack_launch_pack,brand-guidelines,20,0.8815,0.4148,0.6119,0.9332,0.3417
slack_launch_pack,brand-guidelines,21,0.8686,0.4579,0.7046,0.8806,0.4621
slack_launch_pack,brand-guidelines,22,0.868,0.4592,0.6605,0.9276,0.3393
slack_launch_pack,brand-guidelines,23,0.8796,0.4224,0.6092,0.9039,0.4126
slack_launch_pack,brand-guidelines,24,0.8816,0.4206,0.6582,0.8622,0.4999
slack_launch_pack,brand-guidelines,25,0.8722,0.4437,0.8414,0.9531,0.2977
slack_launch_pack,brand-guidelines,26,0.8973,0.3786,0.6426,0.9014,0.4103
slack_launch_pack,brand-guidelines,27,0.9042,0.3718,0.6466,0.9374,0.3214
slack_launch_pack,brand-guidelines,28,0.9324,0.2979,0.6472,0.8957,0.4297
slack_launch_pack,brand-guidelines,29,0.9242,0.314,0.5974,0.9198,0.3519
slack_launch_pack,brand-guidelines,30,0.9282,0.3032,0.6207,0.9458,0.3027
slack_launch_pack,brand-guidelines,31,0.9223,0.3301,0.5848,0.9431,0.3237
slack_launch_pack,brand-guidelines,32,0.9338,0.2923,0.5511,0.9393,0.3224
slack_launch_pack,brand-guidelines,33,0.9408,0.2692,0.5903,0.9213,0.3772
slack_launch_pack,brand-guidelines,34,0.9421,0.2664,0.6352,0.9097,0.3945
slack_launch_pack,brand-guidelines,35,0.945,0.2558,0.6145,0.9019,0.4063
slack_launch_pack,brand-guidelines,36,0.9274,0.3056,0.6685,0.9447,0.3
slack_launch_pack,brand-guidelines,37,0.9409,0.2712,0.5894,0.9477,0.2857
slack_launch_pack,brand-guidelines,38,0.931,0.3006,0.7084,0.9567,0.2795
slack_launch_pack,brand-guidelines,39,0.9302,0.3183,0.7646,0.9826,0.167
