case_id,recompute_pre_skill_context_mean,rope_pre_skill_context_mean,delta_pre_skill_context,recompute_skill_span_mean,rope_skill_span_mean,delta_skill_span
doc_coauthoring_design_doc/doc-coauthoring/occ3,0.06117077689341841,0.09381602532420061,0.032645248430782196,0.08913329605919784,0.09307332993506862,0.003940033875870774
internal_comms_incident_update/internal-comms/occ3,0.07480364586428465,0.1003261341459313,0.02552248828164666,0.03461822373462396,0.039432815561663115,0.0048145918270391524
launch_poster_page_pack/canvas-design/occ3,0.02557959506010742,0.015119156070052117,-0.010460438990055302,0.08389744031047543,0.07621229621406059,-0.007685144096414839
launch_poster_page_pack/theme-factory/occ3,0.012651142798187898,0.013413714983845465,0.000762572185657567,0.035826859969601235,0.036247986949923636,0.0004211269803224005
launch_poster_page_pack/web-artifacts-builder/occ3,0.01926135300935406,0.024217011380426926,0.004955658371072865,0.033142856212844796,0.04037052695931805,0.007227670746473257
mcp_server_and_spec/doc-coauthoring/occ3,0.004046621544950861,0.027228685239809102,0.023182063694858243,0.09343694372256721,0.07393204361993867,-0.019504900102628536
mcp_server_and_spec/mcp-builder/occ3,0.03267354610098885,0.05446746704147457,0.021793920940485725,0.09618724934291323,0.06417964330451469,-0.03200760603839854
slack_launch_pack/brand-guidelines/occ3,0.014432817127313235,0.04296228192841227,0.028529464801099032,0.03038419322706886,0.049258078656689575,0.018873885429620714
slack_launch_pack/internal-comms/occ3,0.04234674067935089,0.04375881590887899,0.0014120752295281036,0.03154277616410479,0.029693040206601608,-0.001849735957503179
slack_launch_pack/slack-gif-creator/occ3,0.0139967689498736,0.029819556488888822,0.015822787539015223,0.07377084767658659,0.0873876082331708,0.013616760556584201
web_artifact_with_theme/theme-factory/occ3,0.016272271710543507,0.020251712250149722,0.003979440539606215,0.0513743189467186,0.06014896155842393,0.008774642611705331
web_artifact_with_theme/web-artifacts-builder/occ3,0.07093021039551416,0.05090739556241999,-0.02002281483309417,0.04658456910273003,0.050622868865540335,0.004038299762810303
