case_id,recompute_pre_skill_context_mean,rope_pre_skill_context_mean,delta_pre_skill_context,recompute_skill_span_mean,rope_skill_span_mean,delta_skill_span
doc_coauthoring_design_doc/doc-coauthoring/occ3,0.03689830727455614,0.036048500950234014,-0.0008498063243221263,0.07243894037801397,0.08001881388670881,0.007579873508694837
internal_comms_incident_update/internal-comms/occ3,0.06376085693334005,0.1282811113524454,0.06452025441910536,0.028950227615051848,0.04236255228327479,0.013412324668222942
launch_poster_page_pack/canvas-design/occ3,0.011374297994822754,0.03776108494147514,0.026386786946652387,0.06160294454654249,0.07555811451232784,0.013955169965785351
launch_poster_page_pack/theme-factory/occ3,0.012575322261517492,0.013996220050105423,0.001420897788587932,0.03140274856624316,0.05469205381314396,0.0232893052469008
launch_poster_page_pack/web-artifacts-builder/occ3,0.019911627538856752,0.03126323834105278,0.01135161080219603,0.033159122648280005,0.036709396228926605,0.0035502735806466
mcp_server_and_spec/doc-coauthoring/occ3,0.002724716378781875,0.03447865629183594,0.031753939913054065,0.08318031859013317,0.06768466260193236,-0.01549565598820081
mcp_server_and_spec/mcp-builder/occ3,0.054288324550218335,0.04464917730334853,-0.009639147246869803,0.07404531749713442,0.05342020610743703,-0.020625111389697387
slack_launch_pack/brand-guidelines/occ3,0.014669023044793974,0.04647107810068973,0.031802055055895756,0.025484837775854512,0.033384512527335916,0.007899674751481404
slack_launch_pack/internal-comms/occ3,0.042459284172097676,0.0439728741904969,0.0015135900183992218,0.03528373422231183,0.034621717373217606,-0.0006620168490942269
slack_launch_pack/slack-gif-creator/occ3,0.03299704571718652,0.06470893753531849,0.03171189181813197,0.07356615299799671,0.0726778712149445,-0.0008882817830522111
web_artifact_with_theme/theme-factory/occ3,0.01392774487206655,0.02467568080369844,0.01074793593163189,0.04005394404581118,0.08284597583598441,0.04279203179017323
web_artifact_with_theme/web-artifacts-builder/occ3,0.04052220425674704,0.05360087683016901,0.01307867257342197,0.054770474155521644,0.047603152223302914,-0.00716732193221873
