offset,region,mode,layer,mass_mean_over_cases
0,pre_skill_context,rope,26,0.069658
0,pre_skill_context,rope,27,0.051803
0,pre_skill_context,rope,28,0.051885
0,pre_skill_context,rope,29,0.055254
0,pre_skill_context,rope,30,0.038654
0,pre_skill_context,rope,31,0.048366
0,pre_skill_context,rope,32,0.037719
0,pre_skill_context,rope,33,0.043994
0,pre_skill_context,rope,34,0.044670
0,pre_skill_context,rope,35,0.050695
0,pre_skill_context,rope,36,0.043000
0,pre_skill_context,rope,37,0.040832
0,pre_skill_context,rope,38,0.040006
0,pre_skill_context,rope,39,0.025413
30,skill_span,recompute,0,0.199648
30,skill_span,recompute,1,0.255462
30,skill_span,recompute,2,0.243559
30,skill_span,recompute,3,0.166048
30,skill_span,recompute,4,0.189050
30,skill_span,recompute,5,0.162109
30,skill_span,recompute,6,0.160156
30,skill_span,recompute,7,0.068506
30,skill_span,recompute,8,0.064965
30,skill_span,recompute,9,0.053121
30,skill_span,recompute,10,0.062208
30,skill_span,recompute,11,0.049795
30,skill_span,recompute,12,0.070663
30,skill_span,recompute,13,0.074913
30,skill_span,recompute,14,0.066066
30,skill_span,recompute,15,0.060679
30,skill_span,recompute,16,0.061092
30,skill_span,recompute,17,0.071080
30,skill_span,recompute,18,0.038638
30,skill_span,recompute,19,0.041060
30,skill_span,recompute,20,0.049555
30,skill_span,recompute,21,0.068817
30,skill_span,recompute,22,0.078869
30,skill_span,recompute,23,0.049391
30,skill_span,recompute,24,0.073081
30,skill_span,recompute,25,0.068077
30,skill_span,recompute,26,0.063499
30,skill_span,recompute,27,0.059088
30,skill_span,recompute,28,0.039439
30,skill_span,recompute,29,0.039948
30,skill_span,recompute,30,0.039937
30,skill_span,recompute,31,0.048163
30,skill_span,recompute,32,0.031237
30,skill_span,recompute,33,0.039431
30,skill_span,recompute,34,0.031577
30,skill_span,recompute,35,0.034944
30,skill_span,recompute,36,0.035506
30,skill_span,recompute,37,0.032603
30,skill_span,recompute,38,0.032563
30,skill_span,recompute,39,0.029560
30,skill_span,rope,0,0.203599
30,skill_span,rope,1,0.287807
30,skill_span,rope,2,0.251417
30,skill_span,rope,3,0.210443
30,skill_span,rope,4,0.211270
30,skill_span,rope,5,0.196892
30,skill_span,rope,6,0.151403
30,skill_span,rope,7,0.083225
30,skill_span,rope,8,0.069565
30,skill_span,rope,9,0.053472
30,skill_span,rope,10,0.068956
30,skill_span,rope,11,0.062280
30,skill_span,rope,12,0.082961
30,skill_span,rope,13,0.091351
30,skill_span,rope,14,0.073734
30,skill_span,rope,15,0.064233
30,skill_span,rope,16,0.074882
30,skill_span,rope,17,0.073597
30,skill_span,rope,18,0.038949
30,skill_span,rope,19,0.046940
30,skill_span,rope,20,0.046512
30,skill_span,rope,21,0.043594
30,skill_span,rope,22,0.050590
30,skill_span,rope,23,0.023770
30,skill_span,rope,24,0.031073
30,skill_span,rope,25,0.042228
30,skill_span,rope,26,0.025851
30,skill_span,rope,27,0.037597
30,skill_span,rope,28,0.028852
30,skill_span,rope,29,0.027266
30,skill_span,rope,30,0.028295
30,skill_span,rope,31,0.044469
30,skill_span,rope,32,0.027613
30,skill_span,rope,33,0.025556
30,skill_span,rope,34,0.017655
30,skill_span,rope,35,0.020468
30,skill_span,rope,36,0.018208
30,skill_span,rope,37,0.022411
30,skill_span,rope,38,0.031439
30,skill_span,rope,39,0.069163
30,pre_skill_context,recompute,0,0.032834
30,pre_skill_context,recompute,1,0.041543
30,pre_skill_context,recompute,2,0.046061
30,pre_skill_context,recompute,3,0.040620
30,pre_skill_context,recompute,4,0.040981
30,pre_skill_context,recompute,5,0.059434
30,pre_skill_context,recompute,6,0.049599
30,pre_skill_context,recompute,7,0.032125
30,pre_skill_context,recompute,8,0.012351
30,pre_skill_context,recompute,9,0.027470
30,pre_skill_context,recompute,10,0.011817
30,pre_skill_context,recompute,11,0.015918
30,pre_skill_context,recompute,12,0.096946
30,pre_skill_context,recompute,13,0.044030
30,pre_skill_context,recompute,14,0.062971
30,pre_skill_context,recompute,15,0.078677
30,pre_skill_context,recompute,16,0.072191
30,pre_skill_context,recompute,17,0.121631
30,pre_skill_context,recompute,18,0.101016
30,pre_skill_context,recompute,19,0.114143
30,pre_skill_context,recompute,20,0.079698
30,pre_skill_context,recompute,21,0.154922
30,pre_skill_context,recompute,22,0.094796
30,pre_skill_context,recompute,23,0.114387
30,pre_skill_context,recompute,24,0.127432
30,pre_skill_context,recompute,25,0.117921
30,pre_skill_context,recompute,26,0.122688
30,pre_skill_context,recompute,27,0.082948
30,pre_skill_context,recompute,28,0.123874
30,pre_skill_context,recompute,29,0.081804
30,pre_skill_context,recompute,30,0.071482
30,pre_skill_context,recompute,31,0.066936
30,pre_skill_context,recompute,32,0.040500
30,pre_skill_context,recompute,33,0.051131
30,pre_skill_context,recompute,34,0.084869
30,pre_skill_context,recompute,35,0.069164
30,pre_skill_context,recompute,36,0.032699
30,pre_skill_context,recompute,37,0.032537
30,pre_skill_context,recompute,38,0.043627
30,pre_skill_context,recompute,39,0.019676
30,pre_skill_context,rope,0,0.031368
30,pre_skill_context,rope,1,0.039736
30,pre_skill_context,rope,2,0.046898
30,pre_skill_context,rope,3,0.044185
30,pre_skill_context,rope,4,0.047008
30,pre_skill_context,rope,5,0.055570
30,pre_skill_context,rope,6,0.050786
30,pre_skill_context,rope,7,0.029742
30,pre_skill_context,rope,8,0.012909
30,pre_skill_context,rope,9,0.020240
30,pre_skill_context,rope,10,0.017829
30,pre_skill_context,rope,11,0.017511
30,pre_skill_context,rope,12,0.104485
30,pre_skill_context,rope,13,0.052905
30,pre_skill_context,rope,14,0.074040
30,pre_skill_context,rope,15,0.084466
30,pre_skill_context,rope,16,0.068902
30,pre_skill_context,rope,17,0.142236
30,pre_skill_context,rope,18,0.112776
30,pre_skill_context,rope,19,0.117795
30,pre_skill_context,rope,20,0.088720
30,pre_skill_context,rope,21,0.182914
30,pre_skill_context,rope,22,0.095161
30,pre_skill_context,rope,23,0.130531
30,pre_skill_context,rope,24,0.161785
30,pre_skill_context,rope,25,0.110700
30,pre_skill_context,rope,26,0.138410
30,pre_skill_context,rope,27,0.100556
30,pre_skill_context,rope,28,0.180036
30,pre_skill_context,rope,29,0.105676
30,pre_skill_context,rope,30,0.098573
30,pre_skill_context,rope,31,0.093336
30,pre_skill_context,rope,32,0.063633
30,pre_skill_context,rope,33,0.071086
30,pre_skill_context,rope,34,0.107582
30,pre_skill_context,rope,35,0.101020
30,pre_skill_context,rope,36,0.055150
30,pre_skill_context,rope,37,0.049621
30,pre_skill_context,rope,38,0.046451
30,pre_skill_context,rope,39,0.017931
60,skill_span,recompute,0,0.178090
60,skill_span,recompute,1,0.204171
60,skill_span,recompute,2,0.229752
60,skill_span,recompute,3,0.166688
60,skill_span,recompute,4,0.173641
60,skill_span,recompute,5,0.152237
60,skill_span,recompute,6,0.125518
60,skill_span,recompute,7,0.046945
60,skill_span,recompute,8,0.045122
60,skill_span,recompute,9,0.034354
60,skill_span,recompute,10,0.045808
60,skill_span,recompute,11,0.041280
60,skill_span,recompute,12,0.037226
60,skill_span,recompute,13,0.040660
60,skill_span,recompute,14,0.042392
60,skill_span,recompute,15,0.033818
60,skill_span,recompute,16,0.036678
60,skill_span,recompute,17,0.046993
60,skill_span,recompute,18,0.025270
60,skill_span,recompute,19,0.026672
60,skill_span,recompute,20,0.033133
60,skill_span,recompute,21,0.047654
60,skill_span,recompute,22,0.054886
60,skill_span,recompute,23,0.037411
60,skill_span,recompute,24,0.054881
60,skill_span,recompute,25,0.048764
60,skill_span,recompute,26,0.047821
60,skill_span,recompute,27,0.040473
60,skill_span,recompute,28,0.037027
60,skill_span,recompute,29,0.035771
60,skill_span,recompute,30,0.036258
60,skill_span,recompute,31,0.043000
60,skill_span,recompute,32,0.028750
60,skill_span,recompute,33,0.034010
60,skill_span,recompute,34,0.026477
60,skill_span,recompute,35,0.027832
60,skill_span,recompute,36,0.028168
60,skill_span,recompute,37,0.027181
60,skill_span,recompute,38,0.027361
60,skill_span,recompute,39,0.027591
60,skill_span,rope,0,0.177557
60,skill_span,rope,1,0.244755
60,skill_span,rope,2,0.255487
60,skill_span,rope,3,0.192736
60,skill_span,rope,4,0.204162
60,skill_span,rope,5,0.188306
60,skill_span,rope,6,0.138762
60,skill_span,rope,7,0.056928
60,skill_span,rope,8,0.052441
60,skill_span,rope,9,0.038028
60,skill_span,rope,10,0.053592
60,skill_span,rope,11,0.045052
60,skill_span,rope,12,0.041490
60,skill_span,rope,13,0.051792
60,skill_span,rope,14,0.055080
