timestamp,mem_available_kb,swap_used_kb,pswpin,pswpout,pgpgin,pgpgout,pid_majflt,swap_pss_kb,swap_kb,locked_kb,vmlck_kb,anon_kb,pss_anon_kb,pss_file_kb,private_dirty_kb
1782706297.774252352,83211392,301736,8012298,16604204,1505933007,3496574001,140490,0,0,0,0,1131652,1131652,878861,29841688
1782706299.038263708,83197652,301736,8012298,16604204,1507630287,3496574269,147130,0,0,0,0,1131652,1131652,2605127,29841688
1782706300.325225492,83181808,301736,8012298,16604204,1509337991,3496574445,153777,0,0,0,0,1131652,1131652,325001,29841688
1782706301.580536198,83157836,301736,8012298,16604204,1510766791,3496574581,159431,0,0,0,0,1131652,1131652,1823309,29841688
1782706302.859890853,83128888,301736,8012298,16604204,1512475899,3496576417,166111,0,0,0,0,1131652,1131652,3578701,29841688
1782706304.167276154,83130408,301736,8012298,16604204,1514017971,3496576553,172162,0,0,0,0,1131656,1131656,1161097,29841692
1782706305.436266702,83130492,301736,8012298,16604204,1515727539,3496576689,178855,0,0,0,0,1131692,1131692,2902605,29841728
1782706306.730808902,83130504,301736,8012298,16604204,1517278067,3496576817,184921,0,0,0,0,1131724,1131724,493645,29841760
1782706307.993255145,83124976,301736,8012298,16604204,1518622067,3496576945,190172,0,0,0,0,1131748,1131748,1858509,29841784
1782706309.293770260,83120480,301736,8012298,16604204,1519657587,3496577081,194221,0,0,0,0,1131768,1131768,2899273,29841804
1782706310.598303689,83121784,301736,8012298,16604204,1520696947,3496577217,198287,0,0,0,0,1131792,1131792,3964813,29841828
1782706311.921613154,83124312,301736,8012298,16604204,1521881387,3496577325,202950,0,0,0,0,1131820,1131820,1220941,29841856
1782706313.231592269,83119224,301736,8012298,16604204,1523361323,3496577461,208723,0,0,0,0,1131848,1131848,2693901,29841884
1782706314.532172946,83120200,301736,8012298,16604204,1524395563,3496577597,212769,0,0,0,0,1131868,1131868,3736649,29841904
1782706315.847856409,83132008,301736,8012298,16604204,1525509347,3496580237,217155,0,0,0,0,1131892,1131892,934734,29841928
1782706317.153649908,83125056,301736,8012298,16604204,1526801379,3496580373,222190,0,0,0,0,1131924,1131924,2230669,29841960
1782706318.476560980,83157452,301736,8012298,16604204,1527905763,3496585229,226512,0,0,0,0,1131944,1131944,3346057,29841980
1782706319.818197222,83173676,301736,8012298,16604204,1528892571,3496585417,230400,0,0,0,0,1131968,1131968,403659,29842004
1782706321.102302298,82883336,301736,8012298,16604204,1529917243,3496585537,234356,0,0,0,0,1457212,1457212,324943,30167248
1782706322.400065425,81311372,301736,8012298,16604204,1529917243,3496585725,234356,0,0,0,0,1131976,1131976,324943,30890588
1782706323.700111996,80777824,301736,8012298,16604204,1529917243,3496585829,234356,0,0,0,0,1170440,1170440,324943,31453340
1782706324.991079653,81237176,301736,8012298,16604204,1529917243,3496585965,234356,0,0,0,0,1525196,1525196,324943,31808096
1782706326.295865621,81314180,301736,8012298,16604204,1529917243,3496586793,234356,0,0,0,0,1451792,1451792,324943,31734692
1782706327.650196408,81344680,301736,8012298,16604204,1529917243,3496586897,234356,0,0,0,0,1410176,1410176,324943,31693076
1782706329.012453984,81354756,301736,8012298,16604204,1529917243,3496587029,234356,0,0,0,0,1396984,1396984,324943,31679884
1782706330.310376391,81356028,301736,8012298,16604204,1529917243,3496587133,234356,0,0,0,0,1374692,1374692,324943,31657592
1782706331.618460985,81392692,301736,8012299,16604204,1529917283,3496587377,234356,0,0,0,0,1325440,1325440,324939,31608340
1782706332.919978145,81424688,301736,8012299,16604204,1529917283,3496587525,234356,0,0,0,0,1290968,1290968,324939,31573868
1782706334.228581657,81113232,301736,8012299,16604204,1529917283,3496589825,234356,0,0,0,0,1170940,1170940,324939,31453840
1782706335.592609972,81118240,301736,8012299,16604204,1529917283,3496589933,234356,0,0,0,0,1140360,1140360,324943,31423260
1782706336.949775435,81165344,301736,8012299,16604204,1529917283,3496590145,234356,0,0,0,0,1525196,1525196,324943,31808096
1782706338.326822420,81206744,301736,8012299,16604204,1529917283,3496590289,234356,0,0,0,0,1503784,1503784,324943,31786684
1782706339.712663774,81171240,301736,8012300,16604204,1529917287,3496590401,234356,0,0,0,0,1525196,1525196,324943,31808096
1782706341.070957443,81141248,301736,8012300,16604204,1529917287,3496590537,234356,0,0,0,0,1525196,1525196,324943,31808096
1782706342.389249259,81171828,301736,8012300,16604204,1529917287,3496590917,234356,0,0,0,0,1521000,1521000,324943,31803900
1782706343.708399877,81170892,301736,8012300,16604204,1529917299,3496591081,234356,0,0,0,0,1525196,1525196,324943,31808096
1782706344.988226225,81473920,301736,8012300,16604204,1529917299,3496591217,234356,0,0,0,0,1131988,1131988,324943,31414888
